Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
Среднее значение по товарам,,,,,,,34750,48,46,1386,1332,94.2,1172,20 из 28,49 ч,837,2,202,,,9617,2563,350,0.65,0.52,12.78,7.7,34.6,9 из 28,1 из 28,3.1,
"Пленка для ламинирования А4, Alingar, 100 шт., 80 мкм, глянцевая.",https://www.ozon.ru/product/1685279030,ООО Амаз,Alingar,Электроника,Пленка для ламинирования,Топ-50% по продажам,1202233,396,1892,635,529,97,273116,20 из 28,39 ч,34140,86,539,FBO,1.6,163578,41351,7920,1.16,3.45,18.15,2.2,100,23 из 28,0 из 28,10.4,2024-09-07
"Пленка для ламинирования Office Kit формат А4, толщина 60 мкм, в уп. 100 шт. PLP100123",https://www.ozon.ru/product/513314874,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,151018,-86,274,551,454,94.1,82014,27 из 28,62 ч,7456,22,0,"FBO,FBS",1.3,56337,6951,1778,0.49,2.22,14.56,0,0,0 из 28,27 из 28,21.5,2022-03-03
"Пленка глянцевая, листы для ламинирования 70x100 мм толщина 100 мкм",https://www.ozon.ru/product/1247221373,deVENTE,deVENTE,Электроника,Пленка для ламинирования,,4686,-66,22,213,213,100,45605,28 из 28,137 ч,1754,12,0,FBO,0.2,1876,140,59,1.17,0.71,8.47,0,0,0 из 28,0 из 28,0,2023-10-17
"Пленка глянцевая, листы для ламинирования A4 216x303 мм, толщина 60 мкм, 100 л",https://www.ozon.ru/product/1271364118,deVENTE,deVENTE,Электроника,Пленка для ламинирования,Super,29976,79,52,576,531,100,30546,28 из 28,66 ч,1697,5,0,FBO,1.8,4971,874,362,1.05,2.4,13.25,20.5,90.4,8 из 28,0 из 28,0,2023-11-02
Пленка для ламинирования А4 60 мкм 100 шт,https://www.ozon.ru/product/2293436858,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,,201028,222,337,597,500,91.3,26132,26 из 28,57 ч,5226,14,0,FBO,1.3,32197,21620,1497,1.05,1.6,19.23,14.6,3.9,5 из 28,0 из 28,3.3,2025-06-14
"Пленка для ламинирования А5, Alingar, 100 шт., 100 мкм, глянцевая.",https://www.ozon.ru/product/1685279083,ООО Амаз,Alingar,Электроника,Пленка для ламинирования,Super,8500,-90,17,500,500,88.2,24694,28 из 28,54 ч,1176,4,0,FBO,0.7,5270,1647,267,0.32,1.27,6.74,0,0,0 из 28,0 из 28,48.6,2024-09-07
"Пленка для ламинирования Office Kit формат А4, толщина 175 мкм., в уп. 100 шт. PLP11523-1",https://www.ozon.ru/product/513402573,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,Лидер по продажам,319149,102,279,1144,897,94.5,24472,21 из 28,44 ч,8157,11,1,"FBO,FBS",3,14162,1769,2037,1.97,1.24,6.77,19.5,66.2,13 из 28,0 из 28,0,2022-03-03
Пленка для холодного ламинирования Сахар А4 10шт,https://www.ozon.ru/product/1620539178,ToryHome,без бренда,Электроника,Пленка для ламинирования,Super,38609,163,40,965,667,92.5,21286,26 из 28,68 ч,1774,3,1,"FBO,FBS",0.7,14444,2415,1437,0.28,3.14,10.16,23.4,35.7,11 из 28,0 из 28,0,2024-07-04
Голографический ламинат RUS 30шт.,https://www.ozon.ru/product/1214908089,ГолограммыРу,без бренда,Электроника,Пленка для ламинирования,Super,42550,76,5,8510,8275,100,14148,9 из 28,28 ч,1572,0,1,FBS,0.5,816,167,55,0.61,0,9.09,0,0,0 из 28,0 из 28,0,2023-09-28
